label,start,stop
female,0.01,2.255
male,2.255,4.0
male,5.14,5.48
male,5.76,6.3
male,6.42,7.88
male,8.19,10.11
male,10.12,10.14
male,10.21,11.8
male,12.29,17.68
male,17.89,19.24
male,19.25,20.83
male,21.24,22.39
male,22.58,24.825
female,24.825,26.84
male,26.94,28.67
male,29.08,29.26
male,29.85,30.67
male,30.83,31.9
male,32.02,34.77
male,34.95,37.27
male,37.37,38.05
male,38.06,38.08
male,38.58,39.07
male,39.2,40.3
male,40.42,40.88
male,41.06,41.99
male,42.21,45.93
male,46.04,46.51
male,46.76,48.89
male,49.05,50.06
male,50.2,52.44
male,52.78,53.64
male,54.02,54.24
male,55.23,59.55
male,59.92,60.34
