label,start,stop
male,0.0,1.2
male,1.26,2.9
male,3.0,4.02
male,4.53,4.97
male,5.45,9.57
male,9.88,11.66
male,11.74,12.36
male,12.89,13.68
male,14.38,15.08
male,16.44,17.62
male,17.75,18.33
male,18.78,21.43
male,22.06,24.19
male,26.0,26.77
male,27.03,29.98
male,30.96,32.29
male,32.5,33.15
male,34.28,35.11
male,36.46,38.96
male,39.18,40.15
male,40.42,40.99
male,41.35,43.45
male,43.71,44.86
male,45.49,46.88
male,47.79,51.46
male,51.84,53.8
male,54.55,54.96
male,55.25,57.11
male,57.54,59.85
male,59.95,61.04
