label,start,stop
male,0.07,1.29
female,1.75,5.96
female,5.99,10.4
female,11.11,12.44
female,12.56,17.53
male,17.57,20.42
male,20.67,22.06
male,22.57,25.61
male,26.24,26.78
male,27.31,27.81
male,28.17,30.34
male,30.77,32.67
male,33.1,33.61
male,34.22,34.82
male,34.97,35.4
male,35.49,36.87
male,37.06,37.77
male,37.88,38.79
male,39.29,41.76
male,41.87,43.36
male,43.41,44.13
male,44.56,45.47
male,46.32,46.89
male,47.64,49.76
male,50.54,51.58
male,51.97,53.58
male,53.99,54.78
male,54.84,55.52
male,58.04,59.85
male,60.01,60.92
