label,start,stop
male,0.01,2.67
male,3.09,4.2
male,4.32,4.96
male,5.12,6.86
male,7.13,7.9
male,8.63,10.1
male,10.18,12.86
male,13.44,16.62
male,16.88,18.0
male,18.79,21.29
male,21.86,25.605
female,25.605,28.43
female,28.72,29.35
male,29.36,29.38
male,29.68,29.71
male,29.77,30.08
female,30.49,33.72
female,33.94,37.07
female,37.22,41.91
female,42.04,44.87
female,44.98,47.98
female,48.1,49.34
female,49.66,52.07
female,52.15,54.45
female,54.6,57.01
female,57.16,60.16
female,60.34,61.41
male,61.62,61.96
