label,start,stop
female,0.15,1.12
female,1.55,2.38
female,2.52,5.06
female,5.45,7.31
female,7.56,10.13
female,10.28,12.07
female,12.18,14.88
female,14.95,18.03
female,18.08,19.19
male,19.24,20.63
female,20.74,21.74
male,21.85,22.4
male,22.48,24.7
female,24.77,27.22
female,27.46,28.63
female,28.95,31.195
male,31.195,32.18
female,32.26,35.5
female,35.6,38.1
female,38.39,43.25
female,43.4,45.23
male,45.42,46.27
female,46.4,50.39
female,50.48,55.724999999999994
male,55.724999999999994,57.37
male,57.55,61.82
