label,start,stop
male,0.15,6.895
female,6.895,9.88
male,10.08,10.51
female,10.94,13.184999999999999
male,13.184999999999999,15.25
male,15.31,17.06
male,17.17,17.47
male,17.75,19.82
male,20.41,21.06
male,21.23,22.75
male,23.08,25.53
male,25.98,26.47
male,26.67,26.9
male,27.13,27.75
male,27.79,29.09
male,29.1,29.11
male,29.15,29.16
male,34.73,35.73
male,36.03,38.46
male,38.57,39.27
male,39.31,39.35
female,39.4,43.144999999999996
male,43.144999999999996,46.94
female,47.02,47.86
female,48.03,48.98
male,49.62,54.864999999999995
female,54.864999999999995,57.864999999999995
male,57.864999999999995,59.26
male,59.33,61.22
