label,start,stop
male,0.08,0.55
male,0.73,2.35
male,3.45,4.03
male,4.85,5.81
male,6.55,7.6
male,8.08,8.11
male,8.65,9.66
male,9.97,11.39
male,11.4,11.78
male,11.98,14.225000000000001
female,14.225000000000001,15.29
male,16.9,19.04
male,19.82,21.38
male,21.41,23.46
male,23.56,26.15
male,26.67,27.34
male,29.82,31.35
male,32.58,33.43
male,33.69,34.62
male,34.74,35.1
male,37.09,37.76
male,38.96,39.81
male,40.56,41.98
male,41.99,42.09
male,43.06,46.99
male,48.47,49.25
male,49.34,50.1
male,51.06,51.62
male,51.91,57.22
male,57.48,58.14
male,58.68,60.36
male,60.48,61.35
