label,start,stop
male,1.53,1.92
male,2.3,2.86
male,3.16,4.81
male,5.84,7.95
male,8.35,8.9
male,9.46,11.05
male,11.56,11.97
male,15.8,16.83
male,17.55,18.43
male,19.77,20.3
male,20.65,23.03
male,23.29,23.74
male,25.0,25.55
male,25.72,26.52
male,27.34,28.83
male,29.82,30.65
female,31.4,34.6
male,34.88,36.23
male,36.6,37.57
male,38.43,39.02
male,40.97,41.92
male,42.66,45.74
male,47.04,47.4
female,48.53,49.18
female,50.15,51.39
female,51.72,54.59
female,55.64,57.05
female,57.46,60.06
female,60.6,61.07
