label,start,stop
male,0.18,2.16
male,3.46,5.31
male,5.6,6.74
female,7.31,9.555
male,9.555,12.85
male,13.03,13.46
male,13.48,13.97
male,14.47,15.16
female,17.4,19.77
male,21.15,22.61
male,22.8,23.63
male,24.23,25.4
male,26.33,27.02
male,31.65,33.03
male,33.42,36.83
male,36.85,37.58
male,37.69,38.62
male,38.69,39.75
male,39.82,42.64
female,43.18,44.29
female,44.3,48.14
male,48.67,49.33
male,49.62,51.864999999999995
female,51.864999999999995,53.05
female,53.23,56.0
male,56.16,57.17
female,57.85,59.82
