label,start,stop
female,0.0,1.2031
male,1.2031,1.8686
female,1.8686,3.8823
male,3.8823,5.657
female,5.657,7.1928
male,7.1928,10.9378
female,10.9378,11.9539
male,11.9539,13.3191
female,13.3191,15.4522
male,15.4522,16.7662
female,16.7662,21.1689
male,21.1689,26.459
female,26.459,27.9778
male,27.9778,28.7799
female,28.7799,30.2474
male,30.2474,37.096500000000006
female,37.096500000000006,40.096500000000006
male,40.096500000000006,44.1724
female,44.1724,47.3294
male,47.3294,48.1485
female,48.1485,49.5478
male,49.5478,50.9812
female,50.9812,53.226200000000006
male,53.226200000000006,54.07
female,54.07,57.6365
male,57.6365,60.011
