label,start,stop
nonspeech,0.0,0.03
speech,0.03,0.79
nonspeech,0.79,1.0
speech,1.0,4.99
nonspeech,4.99,5.0
speech,5.0,7.96
nonspeech,7.96,8.16
speech,8.16,11.18
nonspeech,11.18,11.75
speech,11.75,17.18
nonspeech,17.18,17.34
speech,17.34,19.51
nonspeech,19.51,19.52
speech,19.52,21.37
nonspeech,21.37,21.45
speech,21.45,24.18
nonspeech,24.18,24.26
speech,24.26,25.15
nonspeech,25.15,25.21
speech,25.21,26.67
nonspeech,26.67,27.15
speech,27.15,31.29
nonspeech,31.29,31.34
speech,31.34,32.62
nonspeech,32.62,32.75
speech,32.75,37.14
nonspeech,37.14,37.97
speech,37.97,40.84
nonspeech,40.84,41.06
speech,41.06,46.6
nonspeech,46.6,46.83
speech,46.83,48.75
nonspeech,48.75,48.93
speech,48.93,51.98
nonspeech,51.98,52.5
speech,52.5,56.47
nonspeech,56.47,56.96
speech,56.96,59.98
nonspeech,59.98,59.99
