label,start,stop
nonspeech,0.0,0.07
speech,0.07,3.32
nonspeech,3.32,3.67
speech,3.67,9.9
nonspeech,9.9,10.83
speech,10.83,15.21
nonspeech,15.21,15.73
speech,15.73,19.0
nonspeech,19.0,19.5
speech,19.5,24.7
nonspeech,24.7,24.98
speech,24.98,27.05
nonspeech,27.05,27.48
speech,27.48,30.42
nonspeech,30.42,30.65
speech,30.65,32.24
nonspeech,32.24,32.65
speech,32.65,34.49
nonspeech,34.49,34.81
speech,34.81,36.77
nonspeech,36.77,36.84
speech,36.84,38.86
nonspeech,38.86,39.03
speech,39.03,41.81
nonspeech,41.81,42.08
speech,42.08,45.25
nonspeech,45.25,45.57
speech,45.57,46.74
nonspeech,46.74,47.17
speech,47.17,47.91
nonspeech,47.91,48.86
speech,48.86,50.07
nonspeech,50.07,50.19
speech,50.19,50.58
nonspeech,50.58,50.66
speech,50.66,53.18
nonspeech,53.18,53.69
speech,53.69,57.1
nonspeech,57.1,58.24
speech,58.24,59.05
nonspeech,59.05,59.12
speech,59.12,60.0
nonspeech,60.0,60.01
