label,start,stop
nonspeech,0.0,0.64
speech,0.64,2.27
nonspeech,2.27,2.58
speech,2.58,5.6
nonspeech,5.6,5.63
speech,5.63,7.82
nonspeech,7.82,8.14
speech,8.14,9.4
nonspeech,9.4,9.65
speech,9.65,11.4
nonspeech,11.4,11.7
speech,11.7,16.12
nonspeech,16.12,16.27
speech,16.27,18.29
nonspeech,18.29,18.83
speech,18.83,22.53
nonspeech,22.53,22.59
speech,22.59,24.31
nonspeech,24.31,24.49
speech,24.49,27.8
nonspeech,27.8,28.62
speech,28.62,31.76
nonspeech,31.76,31.96
speech,31.96,34.56
nonspeech,34.56,34.74
speech,34.74,36.22
nonspeech,36.22,36.5
speech,36.5,37.08
nonspeech,37.08,39.2
speech,39.2,43.22
nonspeech,43.22,43.3
speech,43.3,47.12
nonspeech,47.12,47.69
speech,47.69,48.91
nonspeech,48.91,49.39
speech,49.39,58.41
nonspeech,58.41,58.71
speech,58.71,59.98
nonspeech,59.98,59.99
