label,start,stop
nonspeech,0.0,0.05
speech,0.05,8.45
nonspeech,8.45,8.57
speech,8.57,9.51
nonspeech,9.51,9.89
speech,9.89,11.45
nonspeech,11.45,12.03
speech,12.03,13.91
nonspeech,13.91,14.86
speech,14.86,17.37
nonspeech,17.37,17.44
speech,17.44,22.0
nonspeech,22.0,22.1
speech,22.1,22.69
nonspeech,22.69,22.72
speech,22.72,27.96
nonspeech,27.96,27.98
speech,27.98,28.01
nonspeech,28.01,28.09
speech,28.09,29.93
nonspeech,29.93,30.03
speech,30.03,43.15
nonspeech,43.15,43.24
speech,43.24,49.11
nonspeech,49.11,49.24
speech,49.24,49.85
nonspeech,49.85,49.9
speech,49.9,51.07
nonspeech,51.07,51.2
speech,51.2,54.39
nonspeech,54.39,54.52
speech,54.52,58.52
nonspeech,58.52,58.53
speech,58.53,59.03
nonspeech,59.03,59.13
speech,59.13,59.75
nonspeech,59.75,59.99
