label,start,stop
nonspeech,0.0,0.07
speech,0.07,1.96
nonspeech,1.96,2.44
speech,2.44,9.73
nonspeech,9.73,10.11
speech,10.11,12.5
nonspeech,12.5,12.83
speech,12.83,18.96
nonspeech,18.96,19.28
speech,19.28,21.18
nonspeech,21.18,21.31
speech,21.31,28.68
nonspeech,28.68,29.16
speech,29.16,35.18
nonspeech,35.18,35.41
speech,35.41,45.03
nonspeech,45.03,45.21
speech,45.21,46.84
nonspeech,46.84,46.94
speech,46.94,52.14
nonspeech,52.14,52.44
speech,52.44,54.37
nonspeech,54.37,54.69
speech,54.69,55.29
nonspeech,55.29,55.52
speech,55.52,59.95
nonspeech,59.95,60.01
