label,start,stop
nonspeech,0.0,0.33
speech,0.33,3.0
nonspeech,3.0,3.18
speech,3.18,10.99
nonspeech,10.99,11.04
speech,11.04,12.68
nonspeech,12.68,12.8
speech,12.8,13.83
nonspeech,13.83,13.95
speech,13.95,18.06
nonspeech,18.06,18.15
speech,18.15,18.98
nonspeech,18.98,19.13
speech,19.13,23.16
nonspeech,23.16,23.17
speech,23.17,25.31
nonspeech,25.31,26.45
speech,26.45,27.62
nonspeech,27.62,27.64
speech,27.64,30.37
nonspeech,30.37,31.08
speech,31.08,51.59
nonspeech,51.59,52.55
speech,52.55,53.36
nonspeech,53.36,54.05
speech,54.05,54.58
nonspeech,54.58,55.56
speech,55.56,56.57
nonspeech,56.57,57.02
speech,57.02,58.36
nonspeech,58.36,59.16
speech,59.16,59.73
nonspeech,59.73,60.01
