label,start,stop
nonspeech,0.0,0.07
speech,0.07,0.9
nonspeech,0.9,0.91
speech,0.91,2.02
nonspeech,2.02,2.03
speech,2.03,4.12
nonspeech,4.12,4.37
speech,4.37,5.56
nonspeech,5.56,5.71
speech,5.71,8.91
nonspeech,8.91,8.93
speech,8.93,9.47
nonspeech,9.47,9.51
speech,9.51,11.9
nonspeech,11.9,12.62
speech,12.62,13.13
nonspeech,13.13,13.45
speech,13.45,17.55
nonspeech,17.55,17.56
speech,17.56,19.67
nonspeech,19.67,20.51
speech,20.51,22.71
nonspeech,22.71,22.91
speech,22.91,44.23
nonspeech,44.23,44.33
speech,44.33,49.89
nonspeech,49.89,49.93
speech,49.93,50.2
nonspeech,50.2,50.34
speech,50.34,55.07
nonspeech,55.07,55.4
speech,55.4,55.89
nonspeech,55.89,55.97
speech,55.97,56.45
nonspeech,56.45,56.46
speech,56.46,58.16
nonspeech,58.16,58.18
speech,58.18,60.0
nonspeech,60.0,60.01
