label,start,stop
nonspeech,0.0,0.28
speech,0.28,1.34
nonspeech,1.34,1.38
speech,1.38,4.79
nonspeech,4.79,4.92
speech,4.92,8.11
nonspeech,8.11,8.28
speech,8.28,9.41
nonspeech,9.41,9.55
speech,9.55,10.89
nonspeech,10.89,11.05
speech,11.05,11.38
nonspeech,11.38,11.39
speech,11.39,14.43
nonspeech,14.43,14.44
speech,14.44,19.37
nonspeech,19.37,19.72
speech,19.72,22.74
nonspeech,22.74,22.83
speech,22.83,23.74
nonspeech,23.74,23.95
speech,23.95,25.67
nonspeech,25.67,25.98
speech,25.98,27.37
nonspeech,27.37,27.4
speech,27.4,30.54
nonspeech,30.54,30.64
speech,30.64,32.58
nonspeech,32.58,32.64
speech,32.64,34.65
nonspeech,34.65,34.68
speech,34.68,35.16
nonspeech,35.16,35.39
speech,35.39,42.91
nonspeech,42.91,42.99
speech,42.99,44.86
nonspeech,44.86,45.4
speech,45.4,51.22
nonspeech,51.22,51.94
speech,51.94,56.29
nonspeech,56.29,56.57
speech,56.57,57.26
nonspeech,57.26,57.38
speech,57.38,58.9
nonspeech,58.9,58.94
speech,58.94,59.98
nonspeech,59.98,59.99
