label,start,stop
nonspeech,0.0,0.13
speech,0.13,1.55
nonspeech,1.55,1.78
speech,1.78,5.13
nonspeech,5.13,5.44
speech,5.44,8.57
nonspeech,8.57,8.58
speech,8.58,9.44
nonspeech,9.44,9.59
speech,9.59,11.67
nonspeech,11.67,11.94
speech,11.94,14.5
nonspeech,14.5,15.0
speech,15.0,16.23
nonspeech,16.23,16.47
speech,16.47,19.53
nonspeech,19.53,19.66
speech,19.66,23.66
nonspeech,23.66,24.34
speech,24.34,24.97
nonspeech,24.97,25.15
speech,25.15,26.58
nonspeech,26.58,26.67
speech,26.67,27.36
nonspeech,27.36,27.8
speech,27.8,29.11
nonspeech,29.11,29.29
speech,29.29,33.43
nonspeech,33.43,33.64
speech,33.64,37.41
nonspeech,37.41,37.6
speech,37.6,38.27
nonspeech,38.27,38.37
speech,38.37,39.06
nonspeech,39.06,39.2
speech,39.2,43.24
nonspeech,43.24,43.25
speech,43.25,49.74
nonspeech,49.74,49.83
speech,49.83,52.32
nonspeech,52.32,52.45
speech,52.45,54.28
nonspeech,54.28,54.65
speech,54.65,55.95
nonspeech,55.95,56.62
speech,56.62,57.47
nonspeech,57.47,57.48
speech,57.48,59.96
nonspeech,59.96,59.99
