label,start,stop
nonspeech,0.0,1.34
speech,1.34,2.97
nonspeech,2.97,3.37
speech,3.37,6.4
nonspeech,6.4,7.46
speech,7.46,8.45
nonspeech,8.45,9.84
speech,9.84,11.16
nonspeech,11.16,11.7
speech,11.7,12.81
nonspeech,12.81,14.28
speech,14.28,18.9
nonspeech,18.9,26.03
speech,26.03,26.44
nonspeech,26.44,33.64
speech,33.64,34.51
nonspeech,34.51,34.87
speech,34.87,37.41
nonspeech,37.41,37.59
speech,37.59,39.83
nonspeech,39.83,41.01
speech,41.01,43.53
nonspeech,43.53,44.15
speech,44.15,45.01
nonspeech,45.01,45.03
speech,45.03,46.09
nonspeech,46.09,50.4
speech,50.4,52.9
nonspeech,52.9,53.15
speech,53.15,55.26
nonspeech,55.26,56.39
speech,56.39,58.08
nonspeech,58.08,60.72
