label,start,stop
nonspeech,0.0,0.01
speech,0.01,0.62
nonspeech,0.62,0.64
speech,0.64,1.72
nonspeech,1.72,2.0
speech,2.0,5.88
nonspeech,5.88,6.3
speech,6.3,8.73
nonspeech,8.73,9.35
speech,9.35,12.6
nonspeech,12.6,12.85
speech,12.85,15.16
nonspeech,15.16,15.5
speech,15.5,17.62
nonspeech,17.62,17.92
speech,17.92,21.92
nonspeech,21.92,22.11
speech,22.11,25.03
nonspeech,25.03,25.21
speech,25.21,29.18
nonspeech,29.18,29.23
speech,29.23,32.51
nonspeech,32.51,32.83
speech,32.83,33.77
nonspeech,33.77,33.82
speech,33.82,35.65
nonspeech,35.65,36.25
speech,36.25,36.86
nonspeech,36.86,37.04
speech,37.04,39.44
nonspeech,39.44,39.76
speech,39.76,42.58
nonspeech,42.58,42.7
speech,42.7,45.2
nonspeech,45.2,45.54
speech,45.54,48.19
nonspeech,48.19,48.33
speech,48.33,51.58
nonspeech,51.58,51.65
speech,51.65,53.39
nonspeech,53.39,53.46
speech,53.46,55.44
nonspeech,55.44,55.61
speech,55.61,56.79
nonspeech,56.79,57.11
speech,57.11,59.32
nonspeech,59.32,59.48
speech,59.48,60.47
nonspeech,60.47,60.48
