label,start,stop
speech,0.0,4.23
nonspeech,4.23,4.64
speech,4.64,7.71
nonspeech,7.71,7.82
speech,7.82,8.72
nonspeech,8.72,9.66
speech,9.66,10.19
nonspeech,10.19,11.02
speech,11.02,15.5
nonspeech,15.5,15.55
speech,15.55,16.13
nonspeech,16.13,16.19
speech,16.19,17.15
nonspeech,17.15,17.82
speech,17.82,20.05
nonspeech,20.05,20.09
speech,20.09,22.93
nonspeech,22.93,23.11
speech,23.11,27.19
nonspeech,27.19,27.66
speech,27.66,29.22
nonspeech,29.22,30.02
speech,30.02,30.61
nonspeech,30.61,30.85
speech,30.85,31.48
nonspeech,31.48,31.56
speech,31.56,32.06
nonspeech,32.06,32.46
speech,32.46,34.65
nonspeech,34.65,35.21
speech,35.21,38.1
nonspeech,38.1,38.39
speech,38.39,39.76
nonspeech,39.76,39.85
speech,39.85,41.64
nonspeech,41.64,42.23
speech,42.23,42.86
nonspeech,42.86,43.09
speech,43.09,44.11
nonspeech,44.11,44.22
speech,44.22,45.7
nonspeech,45.7,46.16
speech,46.16,47.19
nonspeech,47.19,47.82
speech,47.82,49.87
nonspeech,49.87,49.92
speech,49.92,50.88
nonspeech,50.88,51.27
speech,51.27,52.18
nonspeech,52.18,52.81
speech,52.81,55.27
nonspeech,55.27,55.39
speech,55.39,58.35
nonspeech,58.35,58.54
speech,58.54,59.19
nonspeech,59.19,60.6
speech,60.6,61.48
nonspeech,61.48,61.55
