label,start,stop
nonspeech,0.0,1.12
speech,1.12,2.06
nonspeech,2.06,2.33
speech,2.33,4.87
nonspeech,4.87,6.46
speech,6.46,7.34
nonspeech,7.34,7.8
speech,7.8,8.27
nonspeech,8.27,9.64
speech,9.64,10.45
nonspeech,10.45,10.96
speech,10.96,11.92
nonspeech,11.92,12.23
speech,12.23,13.77
nonspeech,13.77,17.04
speech,17.04,18.22
nonspeech,18.22,18.26
speech,18.26,18.9
nonspeech,18.9,19.58
speech,19.58,21.02
nonspeech,21.02,21.54
speech,21.54,22.5
nonspeech,22.5,22.55
speech,22.55,24.38
nonspeech,24.38,26.69
speech,26.69,27.97
nonspeech,27.97,29.2
speech,29.2,30.0
nonspeech,30.0,31.09
speech,31.09,35.46
nonspeech,35.46,36.89
speech,36.89,39.07
nonspeech,39.07,39.7
speech,39.7,40.26
nonspeech,40.26,40.35
speech,40.35,41.42
nonspeech,41.42,41.5
speech,41.5,42.3
nonspeech,42.3,42.93
speech,42.93,43.4
nonspeech,43.4,44.68
speech,44.68,45.96
nonspeech,45.96,45.98
speech,45.98,51.39
nonspeech,51.39,56.6
speech,56.6,57.98
nonspeech,57.98,59.25
speech,59.25,59.3
nonspeech,59.3,59.4
speech,59.4,59.47
nonspeech,59.47,60.17
speech,60.17,61.52
nonspeech,61.52,61.53
