label,start,stop
speech,0.0,4.03
nonspeech,4.03,4.39
speech,4.39,5.4
nonspeech,5.4,5.97
speech,5.97,9.12
nonspeech,9.12,9.34
speech,9.34,10.46
nonspeech,10.46,12.0
speech,12.0,14.2
nonspeech,14.2,14.22
speech,14.22,14.63
nonspeech,14.63,14.64
speech,14.64,15.14
nonspeech,15.14,16.14
speech,16.14,17.02
nonspeech,17.02,21.96
speech,21.96,26.85
nonspeech,26.85,26.94
speech,26.94,27.33
nonspeech,27.33,28.43
speech,28.43,31.61
nonspeech,31.61,32.45
speech,32.45,37.04
nonspeech,37.04,37.18
speech,37.18,47.94
nonspeech,47.94,48.0
speech,48.0,51.5
nonspeech,51.5,51.78
speech,51.78,57.74
nonspeech,57.74,57.75
speech,57.75,57.83
nonspeech,57.83,58.49
speech,58.49,61.03
nonspeech,61.03,61.04
