label,start,stop
nonspeech,0.0,0.01
speech,0.01,0.39
nonspeech,0.39,0.4
speech,0.4,4.5
nonspeech,4.5,7.36
speech,7.36,7.95
nonspeech,7.95,9.36
speech,9.36,11.74
nonspeech,11.74,12.03
speech,12.03,12.7
nonspeech,12.7,12.92
speech,12.92,14.24
nonspeech,14.24,14.81
speech,14.81,17.16
nonspeech,17.16,18.38
speech,18.38,18.9
nonspeech,18.9,19.14
speech,19.14,21.33
nonspeech,21.33,21.59
speech,21.59,23.6
nonspeech,23.6,24.41
speech,24.41,27.3
nonspeech,27.3,27.69
speech,27.69,30.19
nonspeech,30.19,30.47
speech,30.47,31.6
nonspeech,31.6,33.11
speech,33.11,35.48
nonspeech,35.48,35.51
speech,35.51,37.82
nonspeech,37.82,38.13
speech,38.13,40.28
nonspeech,40.28,40.6
speech,40.6,41.72
nonspeech,41.72,43.05
speech,43.05,47.24
nonspeech,47.24,47.4
speech,47.4,49.07
nonspeech,49.07,49.14
speech,49.14,49.93
nonspeech,49.93,49.95
speech,49.95,51.05
nonspeech,51.05,51.28
speech,51.28,52.9
nonspeech,52.9,53.18
speech,53.18,54.43
nonspeech,54.43,54.62
speech,54.62,57.19
nonspeech,57.19,58.04
speech,58.04,60.57
nonspeech,60.57,61.04
speech,61.04,61.39
nonspeech,61.39,61.4
