label,start,stop
nonspeech,0.0,0.2
speech,0.2,0.95
nonspeech,0.95,2.8
speech,2.8,13.23
nonspeech,13.23,13.52
speech,13.52,15.92
nonspeech,15.92,16.07
speech,16.07,17.48
nonspeech,17.48,24.93
speech,24.93,25.62
nonspeech,25.62,26.41
speech,26.41,27.94
nonspeech,27.94,28.53
speech,28.53,32.12
nonspeech,32.12,32.29
speech,32.29,33.12
nonspeech,33.12,33.26
speech,33.26,36.78
nonspeech,36.78,37.0
speech,37.0,40.55
nonspeech,40.55,41.21
speech,41.21,57.75
nonspeech,57.75,59.71
speech,59.71,60.56
nonspeech,60.56,61.57
