label,start,stop
nonspeech,0.0,0.73
speech,0.73,3.47
nonspeech,3.47,3.87
speech,3.87,4.71
nonspeech,4.71,5.1
speech,5.1,5.65
nonspeech,5.65,5.89
speech,5.89,8.27
nonspeech,8.27,9.46
speech,9.46,10.4
nonspeech,10.4,10.45
speech,10.45,12.75
nonspeech,12.75,13.34
speech,13.34,13.96
nonspeech,13.96,14.21
speech,14.21,17.78
nonspeech,17.78,18.26
speech,18.26,26.01
nonspeech,26.01,26.29
speech,26.29,29.32
nonspeech,29.32,30.21
speech,30.21,35.72
nonspeech,35.72,35.73
speech,35.73,39.63
nonspeech,39.63,40.45
speech,40.45,40.92
nonspeech,40.92,40.97
speech,40.97,43.94
nonspeech,43.94,43.98
speech,43.98,45.12
nonspeech,45.12,45.89
speech,45.89,47.09
nonspeech,47.09,49.87
speech,49.87,50.71
nonspeech,50.71,51.72
speech,51.72,57.78
nonspeech,57.78,60.33
speech,60.33,61.0
nonspeech,61.0,61.27
