label,start,stop
nonspeech,0.0,0.11
speech,0.11,2.18
nonspeech,2.18,2.19
speech,2.19,2.22
nonspeech,2.22,2.25
speech,2.25,5.77
nonspeech,5.77,6.14
speech,6.14,8.8
nonspeech,8.8,8.95
speech,8.95,15.06
nonspeech,15.06,15.16
speech,15.16,23.3
nonspeech,23.3,23.46
speech,23.46,24.97
nonspeech,24.97,25.27
speech,25.27,25.75
nonspeech,25.75,26.01
speech,26.01,31.31
nonspeech,31.31,31.61
speech,31.61,34.55
nonspeech,34.55,36.01
speech,36.01,38.86
nonspeech,38.86,39.03
speech,39.03,41.13
nonspeech,41.13,42.3
speech,42.3,44.67
nonspeech,44.67,45.07
speech,45.07,49.18
nonspeech,49.18,49.36
speech,49.36,50.85
nonspeech,50.85,51.62
speech,51.62,52.48
nonspeech,52.48,52.75
speech,52.75,55.21
nonspeech,55.21,55.53
speech,55.53,56.54
nonspeech,56.54,58.0
speech,58.0,58.27
nonspeech,58.27,58.47
speech,58.47,59.19
nonspeech,59.19,59.26
speech,59.26,60.83
nonspeech,60.83,60.84
