label,start,stop
nonspeech,0.0,0.15
speech,0.15,1.8
nonspeech,1.8,2.03
speech,2.03,3.98
nonspeech,3.98,4.13
speech,4.13,6.35
nonspeech,6.35,6.68
speech,6.68,9.51
nonspeech,9.51,9.84
speech,9.84,12.08
nonspeech,12.08,12.58
speech,12.58,13.09
nonspeech,13.09,13.25
speech,13.25,14.92
nonspeech,14.92,15.44
speech,15.44,16.57
nonspeech,16.57,16.96
speech,16.96,17.68
nonspeech,17.68,17.73
speech,17.73,20.15
nonspeech,20.15,21.09
speech,21.09,23.95
nonspeech,23.95,24.05
speech,24.05,28.24
nonspeech,28.24,28.37
speech,28.37,29.76
nonspeech,29.76,29.95
speech,29.95,34.12
nonspeech,34.12,34.39
speech,34.39,35.67
nonspeech,35.67,36.93
speech,36.93,42.16
nonspeech,42.16,42.21
speech,42.21,45.57
nonspeech,45.57,45.6
speech,45.6,53.01
nonspeech,53.01,53.06
speech,53.06,53.57
nonspeech,53.57,54.37
speech,54.37,60.19
nonspeech,60.19,60.44
