label,start,stop
nonspeech,0.0,0.01
speech,0.01,4.68
nonspeech,4.68,4.81
speech,4.81,10.62
nonspeech,10.62,11.07
speech,11.07,11.1
nonspeech,11.1,12.01
speech,12.01,17.98
nonspeech,17.98,18.01
speech,18.01,20.38
nonspeech,20.38,20.94
speech,20.94,31.48
nonspeech,31.48,31.54
speech,31.54,39.92
nonspeech,39.92,40.05
speech,40.05,43.41
nonspeech,43.41,43.54
speech,43.54,45.5
nonspeech,45.5,47.47
speech,47.47,48.93
nonspeech,48.93,48.96
speech,48.96,50.47
nonspeech,50.47,51.28
speech,51.28,52.49
nonspeech,52.49,53.01
speech,53.01,53.94
nonspeech,53.94,54.25
speech,54.25,55.89
nonspeech,55.89,56.1
speech,56.1,59.78
nonspeech,59.78,59.79
speech,59.79,61.2
nonspeech,61.2,61.21
