label,start,stop
nonspeech,0.0,1.3
speech,1.3,2.04
nonspeech,2.04,2.67
speech,2.67,3.18
nonspeech,3.18,3.92
speech,3.92,5.18
nonspeech,5.18,5.75
speech,5.75,6.46
nonspeech,6.46,6.83
speech,6.83,11.91
nonspeech,11.91,13.22
speech,13.22,20.59
nonspeech,20.59,21.69
speech,21.69,23.45
nonspeech,23.45,23.57
speech,23.57,24.49
nonspeech,24.49,24.68
speech,24.68,30.55
nonspeech,30.55,31.87
speech,31.87,37.04
nonspeech,37.04,37.12
speech,37.12,37.58
nonspeech,37.58,38.06
speech,38.06,38.5
nonspeech,38.5,38.69
speech,38.69,38.99
nonspeech,38.99,39.17
speech,39.17,40.74
nonspeech,40.74,40.92
speech,40.92,42.68
nonspeech,42.68,43.3
speech,43.3,48.2
nonspeech,48.2,48.38
speech,48.38,51.69
nonspeech,51.69,52.29
speech,52.29,52.92
nonspeech,52.92,53.15
speech,53.15,55.56
nonspeech,55.56,55.83
speech,55.83,58.1
nonspeech,58.1,58.26
speech,58.26,60.41
nonspeech,60.41,60.42
