label,start,stop
nonspeech,0.0,0.22
speech,0.22,1.46
nonspeech,1.46,1.61
speech,1.61,2.92
nonspeech,2.92,3.36
speech,3.36,6.55
nonspeech,6.55,8.65
speech,8.65,10.84
nonspeech,10.84,10.95
speech,10.95,12.15
nonspeech,12.15,12.22
speech,12.22,14.46
nonspeech,14.46,14.66
speech,14.66,16.85
nonspeech,16.85,16.9
speech,16.9,20.12
nonspeech,20.12,20.43
speech,20.43,22.61
nonspeech,22.61,23.84
speech,23.84,26.86
nonspeech,26.86,27.32
speech,27.32,28.04
nonspeech,28.04,28.57
speech,28.57,31.22
nonspeech,31.22,31.79
speech,31.79,33.91
nonspeech,33.91,34.2
speech,34.2,37.08
nonspeech,37.08,37.16
speech,37.16,37.55
nonspeech,37.55,37.72
speech,37.72,39.02
nonspeech,39.02,39.2
speech,39.2,41.3
nonspeech,41.3,41.72
speech,41.72,46.73
nonspeech,46.73,46.86
speech,46.86,48.78
nonspeech,48.78,48.96
speech,48.96,50.41
nonspeech,50.41,50.76
speech,50.76,55.15
nonspeech,55.15,55.22
speech,55.22,58.76
nonspeech,58.76,58.82
speech,58.82,60.26
nonspeech,60.26,60.32
speech,60.32,61.11
nonspeech,61.11,61.12
