label,start,stop
nonspeech,0.0,0.27
speech,0.27,2.48
nonspeech,2.48,2.76
speech,2.76,10.03
nonspeech,10.03,10.08
speech,10.08,10.7
nonspeech,10.7,10.79
speech,10.79,14.51
nonspeech,14.51,14.63
speech,14.63,18.45
nonspeech,18.45,18.79
speech,18.79,21.8
nonspeech,21.8,22.0
speech,22.0,24.57
nonspeech,24.57,24.85
speech,24.85,28.18
nonspeech,28.18,28.2
speech,28.2,30.76
nonspeech,30.76,30.95
speech,30.95,34.24
nonspeech,34.24,34.88
speech,34.88,45.13
nonspeech,45.13,45.43
speech,45.43,46.77
nonspeech,46.77,46.83
speech,46.83,48.48
nonspeech,48.48,48.79
speech,48.79,58.66
nonspeech,58.66,59.24
speech,59.24,60.53
nonspeech,60.53,60.84
