label,start,stop
nonspeech,0.0,0.18
speech,0.18,2.16
nonspeech,2.16,3.46
speech,3.46,5.31
nonspeech,5.31,5.6
speech,5.6,6.74
nonspeech,6.74,7.31
speech,7.31,12.85
nonspeech,12.85,13.03
speech,13.03,13.46
nonspeech,13.46,13.48
speech,13.48,13.97
nonspeech,13.97,14.47
speech,14.47,15.16
nonspeech,15.16,17.4
speech,17.4,19.77
nonspeech,19.77,21.15
speech,21.15,22.61
nonspeech,22.61,22.8
speech,22.8,23.63
nonspeech,23.63,24.23
speech,24.23,25.4
nonspeech,25.4,26.33
speech,26.33,27.02
nonspeech,27.02,31.65
speech,31.65,33.03
nonspeech,33.03,33.42
speech,33.42,36.83
nonspeech,36.83,36.85
speech,36.85,37.58
nonspeech,37.58,37.69
speech,37.69,38.62
nonspeech,38.62,38.69
speech,38.69,39.75
nonspeech,39.75,39.82
speech,39.82,42.64
nonspeech,42.64,43.18
speech,43.18,44.29
nonspeech,44.29,44.3
speech,44.3,48.14
nonspeech,48.14,48.67
speech,48.67,49.33
nonspeech,49.33,49.62
speech,49.62,53.05
nonspeech,53.05,53.23
speech,53.23,56.0
nonspeech,56.0,56.16
speech,56.16,57.17
nonspeech,57.17,57.85
speech,57.85,59.82
nonspeech,59.82,60.48
