label,start,stop
male,0.0,0.01
female,0.01,1.19
male,1.19,1.72
female,1.72,3.88
male,3.88,5.59
female,5.59,7.25
male,7.25,13.26
female,13.26,15.36
male,15.36,16.68
female,16.68,17.91
male,17.91,18.17
female,18.17,21.19
male,21.19,23.96
female,23.96,24.64
male,24.64,26.31
female,26.31,27.97
male,27.97,28.78
female,28.78,30.3
male,30.3,31.68
female,31.68,34.0
male,34.0,37.0
female,37.0,38.71
male,38.71,44.84
female,44.84,46.75
male,46.75,48.05
female,48.05,49.28
male,49.28,50.81
female,50.81,53.64
male,53.64,55.08
female,55.08,57.51
male,57.51,59.99
