label,start,stop
male,0.0,0.13
female,0.13,2.29
male,2.29,2.65
female,2.65,4.08
male,4.08,4.26
female,4.26,9.46
male,9.46,9.65
female,9.65,15.64
male,15.64,15.93
female,15.93,17.04
male,17.04,17.19
female,17.19,24.88
male,24.88,25.17
female,25.17,25.81
male,25.81,25.88
female,25.88,30.66
male,30.66,31.01
female,31.01,32.94
male,32.94,33.08
female,33.08,34.26
male,34.26,35.14
female,35.14,39.43
male,39.43,39.66
female,39.66,42.67
male,42.67,42.91
female,42.91,44.59
male,44.59,45.02
female,45.02,50.38
male,50.38,50.58
female,50.58,51.84
male,51.84,51.97
female,51.97,58.62
male,58.62,59.99
