label,start,stop
male,0.0,0.13
female,0.13,1.04
male,1.04,1.35
female,1.35,3.73
male,3.73,10.23
female,10.23,12.46
male,12.46,13.61
female,13.61,14.36
male,14.36,14.65
female,14.65,15.31
male,15.31,23.88
female,23.88,24.84
male,24.84,24.86
female,24.86,26.04
male,26.04,26.6
female,26.6,27.85
male,27.85,34.64
female,34.64,36.65
male,36.65,41.79
female,41.79,43.79
male,43.79,44.36
female,44.36,45.21
male,45.21,45.83
female,45.83,47.16
male,47.16,47.62
female,47.62,48.88
male,48.88,49.29
female,49.29,50.76
male,50.76,53.14
female,53.14,55.9
male,55.9,57.57
female,57.57,59.28
male,59.28,60.35
