label,start,stop
male,0.0,0.01
female,0.01,0.57
male,0.57,0.86
female,0.86,6.22
male,6.22,6.47
female,6.47,9.53
male,9.53,9.75
female,9.75,12.57
male,12.57,12.62
female,12.62,23.7
male,23.7,23.98
female,23.98,29.1
male,29.1,29.14
female,29.14,33.91
male,33.91,34.04
female,34.04,36.33
male,36.33,36.45
female,36.45,39.64
male,39.64,39.87
female,39.87,43.23
male,43.23,43.47
female,43.47,46.29
male,46.29,46.61
female,46.61,47.23
male,47.23,47.33
female,47.33,49.2
male,49.2,49.27
female,49.27,51.01
male,51.01,51.11
female,51.11,56.29
male,56.29,56.75
female,56.75,60.74
male,60.74,60.82
