label,start,stop
male,0.0,0.01
female,0.01,0.4
male,0.4,0.48
female,0.48,1.49
male,1.49,1.65
female,1.65,9.98
male,9.98,10.99
female,10.99,18.32
male,18.32,18.65
female,18.65,19.29
male,19.29,19.41
female,19.41,24.24
male,24.24,24.39
female,24.39,24.81
male,24.81,25.04
female,25.04,28.98
male,28.98,29.87
female,29.87,37.38
male,37.38,37.57
female,37.57,43.21
male,43.21,43.3
female,43.3,45.78
male,45.78,45.89
female,45.89,47.67
male,47.67,47.79
female,47.79,51.17
male,51.17,51.26
female,51.26,53.82
male,53.82,57.47
female,57.47,61.09
male,61.09,61.29
female,61.29,61.9
male,61.9,61.91
