label,start,stop
male,0.0,4.95
female,4.95,9.24
male,9.24,9.3
female,9.3,13.84
male,13.84,13.89
female,13.89,14.28
male,14.28,14.39
female,14.39,16.32
male,16.32,16.51
female,16.51,18.93
male,18.93,19.26
female,19.26,20.57
male,20.57,21.42
female,21.42,24.98
male,24.98,25.0
female,25.0,29.72
male,29.72,30.54
female,30.54,33.2
male,33.2,33.61
female,33.61,35.61
male,35.61,35.63
female,35.63,36.32
male,36.32,36.68
female,36.68,39.74
male,39.74,39.78
female,39.78,44.61
male,44.61,46.45
female,46.45,51.15
male,51.15,51.49
female,51.49,54.66
male,54.66,54.84
female,54.84,56.8
male,56.8,61.89
