label,start,stop
male,0.0,0.74
female,0.74,4.3
male,4.3,4.32
female,4.32,7.18
male,7.18,7.52
female,7.52,10.05
male,10.05,10.64
female,10.64,11.98
male,11.98,13.27
female,13.27,16.1
male,16.1,16.55
female,16.55,18.08
male,18.08,18.26
female,18.26,20.12
male,20.12,23.92
female,23.92,25.38
male,25.38,25.8
female,25.8,28.01
male,28.01,28.47
female,28.47,30.71
male,30.71,30.72
female,30.72,31.64
male,31.64,31.85
female,31.85,33.1
male,33.1,33.74
female,33.74,36.49
male,36.49,36.86
female,36.86,39.1
male,39.1,40.05
female,40.05,43.71
male,43.71,44.12
female,44.12,51.34
male,51.34,51.77
female,51.77,55.53
male,55.53,55.96
female,55.96,59.25
male,59.25,59.52
female,59.52,62.01
male,62.01,62.02
