label,start,stop
male,0.0,0.07
female,0.07,2.08
male,2.08,2.11
female,2.11,23.83
male,23.83,23.9
female,23.9,25.84
male,25.84,25.97
female,25.97,28.6
male,28.6,28.65
female,28.65,39.28
male,39.28,39.35
female,39.35,42.29
male,42.29,42.44
female,42.44,43.69
male,43.69,43.73
female,43.73,45.88
male,45.88,45.96
female,45.96,51.06
male,51.06,51.22
female,51.22,52.69
male,52.69,53.69
female,53.69,55.2
male,55.2,55.22
female,55.22,56.32
male,56.32,56.34
female,56.34,57.39
male,57.39,57.61
female,57.61,61.9
male,61.9,61.91
