label,start,stop
male,0.0,0.15
female,0.15,1.12
male,1.12,1.55
female,1.55,2.38
male,2.38,2.52
female,2.52,5.06
male,5.06,5.45
female,5.45,7.31
male,7.31,7.56
female,7.56,10.13
male,10.13,10.28
female,10.28,12.07
male,12.07,12.18
female,12.18,14.88
male,14.88,14.95
female,14.95,19.19
male,19.19,20.74
female,20.74,21.74
male,21.74,24.77
female,24.77,27.22
male,27.22,27.46
female,27.46,28.63
male,28.63,28.95
female,28.95,31.195
male,31.195,32.26
female,32.26,35.5
male,35.5,35.6
female,35.6,38.1
male,38.1,38.39
female,38.39,43.25
male,43.25,43.4
female,43.4,45.23
male,45.23,46.4
female,46.4,50.39
male,50.39,50.48
female,50.48,55.724999999999994
male,55.724999999999994,61.83
