label,start,stop
male,0.0,0.43
female,0.43,2.06
male,2.06,2.26
female,2.26,3.53
male,3.53,3.75
female,3.75,7.22
male,7.22,7.27
female,7.27,8.91
male,8.91,9.06
female,9.06,10.49
male,10.49,10.56
female,10.56,12.81
male,12.81,13.01
female,13.01,14.9
male,14.9,15.07
female,15.07,18.814999999999998
male,18.814999999999998,36.6
female,36.6,41.64
male,41.64,41.94
female,41.94,44.24
male,44.24,44.64
female,44.64,47.36
male,47.36,47.75
female,47.75,51.03
male,51.03,51.25
female,51.25,53.79
male,53.79,54.53
female,54.53,60.6
male,60.6,60.68
female,60.68,61.2
male,61.2,61.21
