label,start,stop
male,0.0,7.49
female,7.49,10.38
male,10.38,11.08
female,11.08,12.69
male,12.69,12.92
female,12.92,15.36
male,15.36,15.39
female,15.39,17.34
male,17.34,17.64
female,17.64,18.54
male,18.54,18.98
female,18.98,20.21
male,20.21,21.98
female,21.98,25.35
male,25.35,25.73
female,25.73,27.87
male,27.87,28.57
female,28.57,29.49
male,29.49,31.27
female,31.27,33.95
male,33.95,35.65
female,35.65,36.81
male,36.81,36.95
female,36.95,38.49
male,38.49,39.18
female,39.18,42.59
male,42.59,42.98
female,42.98,47.49
male,47.49,55.28
female,55.28,55.93
male,55.93,60.29
