label,start,stop
male,0.0,3.97
female,3.97,4.07
male,4.07,5.44
female,5.44,5.95
male,5.95,6.21
female,6.21,9.81
male,9.81,9.91
female,9.91,12.14
male,12.14,19.86
female,19.86,20.12
male,20.12,23.015
female,23.015,26.46
male,26.46,26.63
female,26.63,29.99
male,29.99,30.59
female,30.59,33.26
male,33.26,33.42
female,33.42,34.87
male,34.87,35.48
female,35.48,38.95
male,38.95,39.17
female,39.17,40.63
male,40.63,41.79
female,41.79,43.07
male,43.07,43.23
female,43.23,46.26
male,46.26,46.54
female,46.54,48.49
male,48.49,50.48
female,50.48,55.85
male,55.85,57.31
female,57.31,60.19
male,60.19,60.2
