start,stop,label
0.1,0.9,speech
1.0,2.1,speech
2.3,3.5,speech
3.6,4.5,speech
4.8,6.3,speech
6.6,8.3,speech
8.8,10.9,speech
11.7,13.9,speech
14.1,17.5,speech
17.6,19.5,speech
19.6,20.8,speech
21.2,22.2,speech
22.9,23.3,speech
23.4,24.1,speech
24.5,26.8,speech
27.3,28.5,speech
28.7,29.6,speech
29.9,32.3,speech
32.8,34.1,speech
34.2,34.6,speech
34.7,37.0,speech
37.2,37.8,speech
37.9,38.2,speech
38.8,40.8,speech
41.2,41.8,speech
42.0,45.2,speech
45.7,48.7,speech
49.3,51.5,speech
51.9,53.9,speech
54.1,57.0,speech
57.2,58.2,speech
58.5,60.0,speech
