start,stop,label
0.1,0.6,speech
0.9,1.5,speech
3.8,5.4,speech
5.7,6.8,speech
7.4,9.3,speech
9.6,12.1,speech
12.3,13.4,speech
13.6,13.9,speech
14.1,15.2,speech
16.1,16.4,speech
17.4,19.8,speech
21.5,22.6,speech
22.9,23.6,speech
24.5,25.3,speech
26.4,26.9,speech
31.8,33.0,speech
33.7,36.8,speech
37.0,37.3,speech
37.9,38.6,speech
38.9,39.6,speech
40.3,40.6,speech
40.7,41.5,speech
41.8,42.7,speech
43.3,44.4,speech
44.5,47.9,speech
48.8,49.2,speech
49.8,52.9,speech
53.4,55.9,speech
56.3,57.1,speech
58.0,59.8,speech
